session_id,outcome,color
12101366,10,CT
12101367,9,CT
12101368,4,T
12101369,7,T
12101370,1,T
12101371,12,CT
12101372,4,T
12101373,8,CT
12101374,2,T
12101375,10,CT
12101376,8,CT
12101377,14,CT
12101378,13,CT
12101379,0,Bonus
12101380,8,CT
12101381,7,T
12101382,14,CT
12101383,1,T
12101384,10,CT
12101385,9,CT
12101386,0,Bonus
12101387,5,T
12101388,6,T
12101389,5,T
12101390,2,T
12101391,12,CT
12101392,14,CT
12101393,0,Bonus
12101394,7,T
12101395,11,CT
12101396,0,Bonus
12101397,1,T
12101398,8,CT
12101399,6,T
12101400,1,T
12101401,12,CT
12101402,1,T
12101403,6,T
12101404,8,CT
12101405,7,T
12101406,4,T
12101407,3,T
12101408,4,T
12101409,10,CT
12101410,12,CT
12101411,14,CT
12101412,3,T
12101413,12,CT
12101414,4,T
12101415,4,T
12101416,14,CT
12101417,13,CT
12101418,9,CT
12101419,11,CT
12101420,12,CT
12101421,8,CT
12101422,3,T
12101423,7,T
12101424,5,T
12101425,9,CT
12101426,9,CT
12101427,13,CT
12101428,3,T
12101429,1,T
12101430,8,CT
12101431,9,CT
12101432,11,CT
12101433,6,T
12101434,2,T
12101435,4,T
12101436,13,CT
12101437,7,T
12101438,7,T
12101439,5,T
12101440,10,CT
12101441,8,CT
12101442,2,T
12101443,10,CT
12101444,8,CT
12101445,12,CT
12101446,4,T
12101447,4,T
12101448,1,T
12101449,8,CT
12101450,3,T
12101451,5,T
12101452,0,Bonus
12101453,5,T
12101454,1,T
12101455,11,CT
12101456,14,CT
12101457,4,T
12101458,8,CT
12101459,0,Bonus
12101460,12,CT
12101461,7,T
12101462,4,T
12101463,0,Bonus
12101464,9,CT
12101465,13,CT
12101466,1,T
12101467,1,T
12101468,14,CT
12101469,13,CT
12101470,13,CT
12101471,1,T
12101472,12,CT
12101473,2,T
12101474,7,T
12101475,0,Bonus
12101476,12,CT
12101477,1,T
12101478,0,Bonus
12101479,13,CT
12101480,1,T
12101481,10,CT
12101482,8,CT
12101483,1,T
12101484,10,CT
12101485,8,CT
12101486,12,CT
12101487,2,T
12101488,9,CT
12101489,13,CT
12101490,14,CT
12101491,0,Bonus
12101492,0,Bonus
12101493,11,CT
12101494,3,T
12101495,10,CT
12101496,11,CT
12101497,4,T
12101498,6,T
12101499,5,T
12101500,12,CT
12101501,3,T
12101502,8,CT
12101503,2,T
12101504,8,CT
12101505,13,CT
12101506,3,T
12101507,11,CT
12101508,10,CT
12101509,1,T
12101510,3,T
12101511,10,CT
12101512,4,T
12101513,9,CT
12101514,6,T
12101515,8,CT
12101516,1,T
12101517,10,CT
12101518,13,CT
12101519,3,T
12101520,14,CT
12101521,3,T
12101522,4,T
12101523,3,T
12101524,12,CT
12101525,2,T
12101526,4,T
12101527,4,T
12101528,4,T
12101529,5,T
12101530,2,T
12101531,3,T
12101532,7,T
12101533,3,T
12101534,2,T
12101535,2,T
12101536,13,CT
12101537,7,T
12101538,14,CT
12101539,13,CT
12101540,0,Bonus
12101541,0,Bonus
12101542,4,T
12101543,2,T
12101544,11,CT
12101545,2,T
12101546,8,CT
12101547,7,T
12101548,4,T
12101549,8,CT
12101550,14,CT
12101551,1,T
12101552,5,T
12101553,1,T
12101554,13,CT
12101555,13,CT
12101556,11,CT
12101557,4,T
12101558,11,CT
12101559,5,T
12101560,5,T
12101561,7,T
12101562,4,T
12101563,10,CT
12101564,6,T
12101565,4,T
12101566,11,CT
12101567,2,T
12101568,11,CT
12101569,0,Bonus
12101570,9,CT
12101571,0,Bonus
12101572,0,Bonus
12101573,13,CT
12101574,4,T
12101575,5,T
12101576,3,T
12101577,10,CT
12101578,2,T
12101579,0,Bonus
12101580,9,CT
12101581,5,T
12101582,13,CT
12101583,6,T
12101584,7,T
12101585,11,CT
12101586,9,CT
12101587,9,CT
12101588,1,T
12101589,10,CT
12101590,7,T
12101591,13,CT
12101592,10,CT
12101593,12,CT
12101594,14,CT
12101595,3,T
12101596,6,T
12101597,9,CT
12101598,1,T
12101599,6,T
12101600,6,T
12101601,5,T
12101602,13,CT
12101603,14,CT
12101604,7,T
12101605,11,CT
12101606,8,CT
12101607,7,T
12101608,8,CT
12101609,9,CT
12101610,7,T
12101611,1,T
12101612,6,T
12101613,11,CT
12101614,6,T
12101615,2,T
12101616,11,CT
12101617,8,CT
12101618,13,CT
12101619,4,T
12101620,6,T
12101621,13,CT
12101622,11,CT
12101623,0,Bonus
12101624,7,T
12101625,13,CT
12101626,8,CT
12101627,12,CT
12101628,14,CT
12101629,3,T
12101630,9,CT
12101631,7,T
12101632,2,T
12101633,2,T
12101634,0,Bonus
12101635,12,CT
12101636,8,CT
12101637,11,CT
12101638,0,Bonus
12101639,3,T
12101640,13,CT
12101641,11,CT
12101642,3,T
12101643,2,T
12101644,10,CT
12101645,1,T
12101646,13,CT
12101647,9,CT
12101648,0,Bonus
12101649,13,CT
12101650,5,T
12101651,7,T
12101652,9,CT
12101653,13,CT
12101654,13,CT
12101655,9,CT
12101656,8,CT
12101657,8,CT
12101658,2,T
12101659,1,T
12101660,3,T
12101661,11,CT
12101662,0,Bonus
12101663,7,T
12101664,5,T
12101665,0,Bonus
12101666,11,CT
12101667,13,CT
12101668,8,CT
12101669,11,CT
12101670,7,T
12101671,9,CT
12101672,8,CT
12101673,8,CT
12101674,8,CT
12101675,11,CT
12101676,3,T
12101677,7,T
12101678,14,CT
12101679,4,T
12101680,5,T
12101681,13,CT
12101682,1,T
12101683,13,CT
12101684,2,T
12101685,1,T
12101686,2,T
12101687,3,T
12101688,12,CT
12101689,4,T
12101690,9,CT
12101691,1,T
12101692,11,CT
12101693,11,CT
12101694,10,CT
12101695,4,T
12101696,11,CT
12101697,0,Bonus
12101698,3,T
12101699,10,CT
12101700,1,T
12101701,6,T
12101702,1,T
12101703,1,T
12101704,10,CT
12101705,6,T
12101706,2,T
12101707,1,T
12101708,6,T
12101709,14,CT
12101710,12,CT
12101711,2,T
12101712,13,CT
12101713,9,CT
12101714,9,CT
12101715,7,T
12101716,10,CT
12101717,6,T
12101718,13,CT
12101719,11,CT
12101720,7,T
12101721,1,T
12101722,3,T
12101723,6,T
12101724,9,CT
12101725,8,CT
12101726,5,T
12101727,10,CT
12101728,12,CT
12101729,5,T
12101730,0,Bonus
12101731,0,Bonus
12101732,5,T
12101733,4,T
12101734,6,T
12101735,0,Bonus
12101736,7,T
12101737,9,CT
12101738,0,Bonus
12101739,8,CT
12101740,14,CT
12101741,1,T
12101742,2,T
12101743,10,CT
12101744,14,CT
12101745,13,CT
12101746,8,CT
12101747,9,CT
12101748,13,CT
12101749,5,T
12101750,14,CT
12101751,12,CT
12101752,7,T
12101753,11,CT
12101754,5,T
12101755,8,CT
12101756,3,T
12101757,2,T
12101758,12,CT
12101759,4,T
12101760,8,CT
12101761,2,T
12101762,5,T
12101763,4,T
12101764,1,T
12101765,0,Bonus
12101766,7,T
12101767,3,T
12101768,7,T
12101769,9,CT
12101770,11,CT
12101771,12,CT
12101772,12,CT
12101773,11,CT
12101774,7,T
12101775,0,Bonus
12101776,7,T
12101777,11,CT
12101778,13,CT
12101779,7,T
12101780,5,T
12101781,3,T
12101782,5,T
12101783,2,T
12101784,5,T
12101785,3,T
12101786,13,CT
12101787,13,CT
12101788,7,T
12101789,14,CT
12101790,10,CT
12101791,5,T
12101792,7,T
12101793,6,T
12101794,12,CT
12101795,13,CT
12101796,6,T
12101797,12,CT
12101798,13,CT
