session_id,outcome,color
12075895,2,T
12075896,7,T
12075897,7,T
12075898,11,CT
12075899,6,T
12075900,9,CT
12075901,11,CT
12075902,10,CT
12075903,9,CT
12075904,9,CT
12075905,1,T
12075906,14,CT
12075907,0,Bonus
12075908,14,CT
12075909,12,CT
12075910,12,CT
12075911,4,T
12075912,7,T
12075913,13,CT
12075914,1,T
12075915,10,CT
12075916,0,Bonus
12075917,10,CT
12075918,13,CT
12075919,11,CT
12075920,5,T
12075921,9,CT
12075922,11,CT
12075923,13,CT
12075924,2,T
12075925,6,T
12075926,12,CT
12075927,1,T
12075928,11,CT
12075929,4,T
12075930,8,CT
12075931,4,T
12075932,6,T
12075933,1,T
12075934,9,CT
12075935,8,CT
12075936,8,CT
12075937,13,CT
12075938,14,CT
12075939,2,T
12075940,6,T
12075941,11,CT
12075942,14,CT
12075943,0,Bonus
12075944,5,T
12075945,4,T
12075946,7,T
12075947,6,T
12075948,2,T
12075949,10,CT
12075950,13,CT
12075951,0,Bonus
12075952,5,T
12075953,14,CT
12075954,1,T
12075955,10,CT
12075956,10,CT
12075957,7,T
12075958,14,CT
12075959,13,CT
12075960,3,T
12075961,13,CT
12075962,2,T
12075963,10,CT
12075964,12,CT
12075965,5,T
12075966,13,CT
12075967,9,CT
12075968,13,CT
12075969,10,CT
12075970,5,T
12075971,2,T
12075972,12,CT
12075973,3,T
12075974,8,CT
12075975,10,CT
12075976,4,T
12075977,3,T
12075978,10,CT
12075979,0,Bonus
12075980,9,CT
12075981,8,CT
12075982,5,T
12075983,0,Bonus
12075984,14,CT
12075985,6,T
12075986,11,CT
12075987,7,T
12075988,6,T
12075989,6,T
12075990,5,T
12075991,12,CT
12075992,5,T
12075993,5,T
12075994,10,CT
12075995,4,T
12075996,1,T
12075997,3,T
12075998,7,T
12075999,3,T
12076000,1,T
12076001,14,CT
12076002,2,T
12076003,5,T
12076004,8,CT
12076005,8,CT
12076006,10,CT
12076007,7,T
12076008,1,T
12076009,14,CT
12076010,3,T
12076011,14,CT
12076012,12,CT
12076013,12,CT
12076014,9,CT
12076015,1,T
12076016,12,CT
12076017,3,T
12076018,9,CT
12076019,12,CT
12076020,0,Bonus
12076021,8,CT
12076022,0,Bonus
12076023,2,T
12076024,10,CT
12076025,6,T
12076026,6,T
12076027,14,CT
12076028,14,CT
12076029,1,T
12076030,8,CT
12076031,7,T
12076032,2,T
12076033,3,T
12076034,6,T
12076035,9,CT
12076036,7,T
12076037,1,T
12076038,1,T
12076039,6,T
12076040,4,T
12076041,1,T
12076042,3,T
12076043,3,T
12076044,3,T
12076045,5,T
12076046,1,T
12076047,0,Bonus
12076048,12,CT
12076049,7,T
12076050,11,CT
12076051,14,CT
12076052,11,CT
12076053,7,T
12076054,14,CT
12076055,5,T
12076056,0,Bonus
12076057,14,CT
12076058,9,CT
12076059,3,T
12076060,13,CT
12076061,9,CT
12076062,0,Bonus
12076063,6,T
12076064,8,CT
12076065,7,T
12076066,7,T
12076067,11,CT
12076068,3,T
12076069,13,CT
12076070,7,T
12076071,9,CT
12076072,3,T
12076073,7,T
12076074,1,T
12076075,10,CT
12076076,7,T
12076077,14,CT
12076078,0,Bonus
12076079,9,CT
12076080,7,T
12076081,12,CT
12076082,6,T
12076083,12,CT
12076084,6,T
12076085,0,Bonus
12076086,8,CT
12076087,14,CT
12076088,11,CT
12076089,13,CT
12076090,9,CT
12076091,6,T
12076092,13,CT
12076093,13,CT
12076094,10,CT
12076095,14,CT
12076096,14,CT
12076097,4,T
12076098,7,T
12076099,11,CT
12076100,14,CT
12076101,14,CT
12076102,7,T
12076103,8,CT
12076104,11,CT
12076105,13,CT
12076106,4,T
12076107,13,CT
12076108,11,CT
12076109,9,CT
12076110,9,CT
12076111,9,CT
12076112,13,CT
12076113,11,CT
12076114,6,T
12076115,4,T
12076116,12,CT
12076117,0,Bonus
12076118,13,CT
12076119,1,T
12076120,4,T
12076121,7,T
12076122,9,CT
12076123,3,T
12076124,11,CT
12076125,1,T
12076126,5,T
12076127,9,CT
12076128,0,Bonus
12076129,10,CT
12076130,14,CT
12076131,9,CT
12076132,5,T
12076133,14,CT
12076134,7,T
12076135,8,CT
12076136,12,CT
12076137,9,CT
12076138,1,T
12076139,4,T
12076140,3,T
12076141,10,CT
12076142,3,T
12076143,7,T
12076144,4,T
12076145,3,T
12076146,5,T
12076147,7,T
12076148,7,T
12076149,2,T
12076150,2,T
12076151,13,CT
12076152,10,CT
12076153,3,T
12076154,9,CT
12076155,3,T
12076156,6,T
12076157,8,CT
12076158,13,CT
12076159,5,T
12076160,2,T
12076161,14,CT
12076162,2,T
12076163,3,T
12076164,0,Bonus
12076165,5,T
12076166,8,CT
12076167,4,T
12076168,0,Bonus
12076169,6,T
12076170,7,T
12076171,10,CT
12076172,0,Bonus
12076173,13,CT
12076174,9,CT
12076175,8,CT
12076176,4,T
12076177,3,T
12076178,1,T
12076179,3,T
12076180,4,T
12076181,3,T
12076182,14,CT
12076183,6,T
12076184,14,CT
12076185,5,T
12076186,7,T
12076187,9,CT
12076188,5,T
12076189,4,T
12076190,11,CT
12076191,7,T
12076192,12,CT
12076193,2,T
12076194,9,CT
12076195,6,T
12076196,14,CT
12076197,11,CT
12076198,9,CT
12076199,5,T
12076200,14,CT
12076201,12,CT
12076202,10,CT
12076203,9,CT
12076204,12,CT
12076205,13,CT
12076206,13,CT
12076207,1,T
12076208,7,T
12076209,10,CT
12076210,14,CT
12076211,0,Bonus
12076212,0,Bonus
12076213,3,T
12076214,3,T
12076215,7,T
12076216,7,T
12076217,5,T
12076218,7,T
12076219,0,Bonus
12076220,11,CT
12076221,6,T
12076222,13,CT
12076223,13,CT
12076224,7,T
12076225,12,CT
12076226,3,T
12076227,10,CT
12076228,4,T
12076229,1,T
12076230,9,CT
12076231,12,CT
12076232,6,T
12076233,12,CT
12076234,0,Bonus
12076235,8,CT
12076236,9,CT
12076237,4,T
12076238,0,Bonus
12076239,14,CT
12076240,4,T
12076241,14,CT
12076242,10,CT
12076243,2,T
12076244,0,Bonus
12076245,9,CT
12076246,14,CT
12076247,6,T
12076248,9,CT
12076249,8,CT
12076250,13,CT
12076251,11,CT
12076252,13,CT
12076253,5,T
12076254,7,T
12076255,10,CT
12076256,4,T
12076257,7,T
12076258,1,T
12076259,0,Bonus
12076260,6,T
12076261,12,CT
12076262,10,CT
12076263,13,CT
12076264,4,T
12076265,0,Bonus
12076266,14,CT
12076267,12,CT
12076268,8,CT
12076269,13,CT
12076270,11,CT
12076271,3,T
12076272,14,CT
12076273,12,CT
12076274,14,CT
12076275,2,T
12076276,14,CT
12076277,13,CT
12076278,6,T
12076279,6,T
12076280,8,CT
12076281,8,CT
12076282,11,CT
12076283,6,T
12076284,11,CT
12076285,12,CT
12076286,13,CT
12076287,2,T
12076288,14,CT
12076289,5,T
12076290,14,CT
12076291,4,T
12076292,14,CT
12076293,13,CT
12076294,2,T
12076295,7,T
12076296,5,T
12076297,8,CT
12076298,14,CT
12076299,3,T
12076300,9,CT
12076301,9,CT
12076302,6,T
12076303,10,CT
12076304,1,T
12076305,8,CT
12076306,13,CT
12076307,10,CT
12076308,12,CT
12076309,7,T
12076310,11,CT
12076311,11,CT
12076312,5,T
12076313,12,CT
12076314,4,T
12076315,7,T
12076316,8,CT
12076317,7,T
12076318,10,CT
12076319,6,T
12076320,12,CT
12076321,12,CT
12076322,0,Bonus
12076323,7,T
12076324,6,T
12076325,11,CT
12076326,2,T
12076327,5,T
12076328,8,CT
12076329,11,CT
12076330,1,T
12076331,14,CT
12076332,13,CT
12076333,10,CT
12076334,12,CT
12076335,12,CT
12076336,1,T
12076337,13,CT
12076338,10,CT
12076339,4,T
12076340,9,CT
12076341,1,T
12076342,0,Bonus
12076343,6,T
12076344,14,CT
12076345,9,CT
12076346,7,T
12076347,4,T
12076348,9,CT
12076349,3,T
12076350,2,T
12076351,10,CT
12076352,12,CT
12076353,13,CT
12076354,7,T
12076355,12,CT
12076356,1,T
12076357,12,CT
12076358,6,T
12076359,5,T
12076360,3,T
12076361,10,CT
12076362,2,T
12076363,0,Bonus
12076364,9,CT
12076365,2,T
12076366,6,T
12076367,1,T
12076368,0,Bonus
12076369,9,CT
12076370,5,T
12076371,2,T
12076372,13,CT
12076373,13,CT
12076374,6,T
12076375,0,Bonus
12076376,3,T
12076377,11,CT
12076378,13,CT
12076379,9,CT
12076380,13,CT
12076381,12,CT
12076382,8,CT
12076383,5,T
12076384,7,T
12076385,0,Bonus
12076386,3,T
12076387,11,CT
12076388,10,CT
12076389,4,T
12076390,0,Bonus
12076391,8,CT
12076392,8,CT
12076393,2,T
12076394,3,T
12076395,3,T
12076396,6,T
12076397,6,T
12076398,8,CT
12076399,11,CT
12076400,5,T
12076401,9,CT
12076402,8,CT
12076403,7,T
12076404,11,CT
12076405,10,CT
12076406,9,CT
12076407,0,Bonus
12076408,2,T
12076409,6,T
12076410,8,CT
12076411,12,CT
12076412,7,T
12076413,0,Bonus
12076414,3,T
12076415,2,T
12076416,12,CT
12076417,11,CT
12076418,6,T
12076419,8,CT
12076420,12,CT
12076421,2,T
12076422,0,Bonus
12076423,5,T
12076424,8,CT
12076425,12,CT
12076426,12,CT
12076427,12,CT
12076428,4,T
12076429,5,T
12076430,1,T
12076431,12,CT
12076432,10,CT
12076433,14,CT
12076434,1,T
12076435,12,CT
12076436,4,T
12076437,0,Bonus
12076438,3,T
12076439,11,CT
12076440,1,T
12076441,7,T
12076442,6,T
12076443,9,CT
12076444,14,CT
12076445,3,T
12076446,6,T
12076447,13,CT
12076448,7,T
12076449,0,Bonus
12076450,1,T
12076451,0,Bonus
12076452,1,T
12076453,8,CT
12076454,4,T
12076455,12,CT
12076456,1,T
12076457,2,T
12076458,2,T
12076459,6,T
12076460,2,T
12076461,2,T
12076462,2,T
12076463,13,CT
12076464,9,CT
12076465,13,CT
12076466,4,T
12076467,8,CT
12076468,7,T
12076469,6,T
12076470,6,T
12076471,7,T
12076472,13,CT
12076473,8,CT
12076474,4,T
12076475,10,CT
12076476,14,CT
12076477,8,CT
12076478,7,T
12076479,13,CT
12076480,4,T
12076481,2,T
12076482,14,CT
12076483,7,T
12076484,4,T
12076485,12,CT
12076486,6,T
12076487,5,T
12076488,9,CT
12076489,7,T
12076490,0,Bonus
12076491,12,CT
12076492,2,T
12076493,5,T
12076494,13,CT
12076495,4,T
12076496,4,T
12076497,11,CT
12076498,2,T
12076499,13,CT
12076500,12,CT
12076501,13,CT
12076502,8,CT
12076503,3,T
12076504,0,Bonus
12076505,3,T
12076506,3,T
12076507,4,T
12076508,5,T
12076509,5,T
12076510,2,T
12076511,0,Bonus
12076512,1,T
12076513,0,Bonus
12076514,2,T
12076515,5,T
12076516,2,T
12076517,7,T
12076518,7,T
12076519,3,T
12076520,14,CT
12076521,10,CT
12076522,13,CT
12076523,9,CT
12076524,10,CT
12076525,10,CT
12076526,8,CT
12076527,6,T
12076528,0,Bonus
12076529,11,CT
12076530,11,CT
12076531,0,Bonus
12076532,2,T
12076533,13,CT
12076534,4,T
12076535,4,T
12076536,4,T
12076537,10,CT
12076538,13,CT
12076539,6,T
12076540,11,CT
12076541,9,CT
12076542,3,T
12076543,5,T
12076544,6,T
12076545,9,CT
12076546,11,CT
12076547,7,T
12076548,12,CT
12076549,9,CT
12076550,2,T
12076551,12,CT
12076552,5,T
12076553,7,T
12076554,13,CT
12076555,0,Bonus
12076556,1,T
12076557,14,CT
12076558,11,CT
12076559,10,CT
12076560,12,CT
12076561,12,CT
12076562,8,CT
12076563,13,CT
12076564,11,CT
12076565,9,CT
12076566,2,T
12076567,5,T
12076568,8,CT
12076569,9,CT
12076570,14,CT
12076571,3,T
12076572,3,T
12076573,0,Bonus
12076574,4,T
12076575,12,CT
